Country,KDI_Pop_2012,KDI_GNIT_2012,KDI_GNIP_2012,KDI_PPPT_2012,KDI_PPPP_2012,KDI_GDP_2012,SR_NH_1993_2002,SR_NH_2003_2012,SR_EPI_1993_2002,SR_EPI_2003_2012,SR_AMM_2007_2011,SR_AMF_2007_2011,SR_RPI_2013,RMH_EP_2010,RMH_ES_2010,RMH_ET_2010,RMH_MM_2010,RMH_S_2011,RMF_PHI_2011,RMF_PAI_2011,RMF_IA_2005_2010,RMF_BS_2000,RMF_BS_2011,% of GDP,RMF_C_2011,RMF_IP_2000,RMF_IP_2011,RMF_DR_2000,RMF_DR_2011,RME_IR_2005_2007,RME_IR_2010_2012,,RME_WWGI_2011,DCI_DE_1993_2002,DCI_DE_2003_2012,DCI_DA_1993_2002,DCI_DA_2003_2012
Afghanistan,30,16.6,570,40.7,1400,4.4,26,62,18,3,406.67,373.63,10.69,8.2,5.15,5.26,460,14.55,0.09,10.78,0,0,0,0,0,0,0,0,0,0,33.79,-1.75,0.75,45.07,7.06,0,0.16
Albania,3,12.9,4090,29.7,9390,0.5,6,6,2,0,93.41,45.48,60.06,9.55,30.59,4.98,27,22.74,11.16,73.28,1.38,43.76,66.7,4.67,38.97,0.36,0.57,10.67,58.43,19.08,19.89,-0.2,2.3,0.33,0.16,0.06,0
Algeria,38,155.1,4110,285,7550,0.6,17,29,1,0,123.44,99.45,59.43,1.41,34.46,5.62,97,20.86,3.52,0,0.86,26.15,45.65,5.95,14.52,0.46,0.56,22.75,31.8,70.67,97.92,-0.93,1.57,4.19,7.54,0.08,0.36
Angola,21,95.4,4580,114.3,5490,3.5,9,22,7,9,381.7,332.87,0,0,0,0,450,36.59,3.11,0,1.17,25.61,52.75,1.97,21.6,0.86,0.97,7.68,40.96,16.81,26.95,-1.06,1.44,1.29,2.03,0.02,0
Armenia,3,11.1,3720,20.8,6990,7,4,1,0,0,159.86,77.86,58.5,4.75,64.64,12.71,30,10.54,0.6,5.93,0.4,8.92,20.41,9.93,34.31,0.12,0.54,111.31,168.09,16.16,19.12,-0.28,2.22,0.13,0.03,0.75,0
Australia,23,1351.2,59570,982.16,43300,1.8,47,46,0,1,80.6,47.28,94.4,2.11,38.95,22.35,7,68.27,0,0,33.89,61.27,99.19,84.56,124.12,8.82,5.27,138.02,125.13,5.6,3.35,1.63,4.13,0.44,0.37,0.2,0.18
Austria,8,407.6,48160,373.19,44100,0.4,11,8,0,0,99.78,48.49,80.49,17.24,45.26,9.52,4,78.35,0,0,34.05,80.42,95.01,102.19,118.9,4.75,4.61,127.07,125.15,4.23,4.96,1.49,3.99,0.25,0.11,0.12,0.06
Azerbaijan,9,56.3,6050,87.5,9410,3.1,8,5,0,0,177.87,68.36,48.82,0,0,0,43,10.81,1.06,19.5,0.71,10.56,13.36,5.9,17.88,0.27,0.31,55.86,133.85,11.25,15.03,-0.84,1.66,0.62,0.03,0.35,0.01
Bangladesh,155,129.2,840,319.9,2070,5.1,80,55,10,4,160.59,134.01,34.41,21.45,18.36,2.98,240,26.83,2.1,0,2.1,29.78,54.23,24.34,48.58,0.47,1.08,81.74,89.57,6.22,9.91,-0.87,1.63,4.62,5.25,1.44,0.68
Belarus,9,61.8,6530,143.9,15210,1.6,4,1,2,0,334.25,112.17,78.48,0,0,0,4,26.44,3.06,4.71,0.82,14.94,35.94,8.79,41.75,0.59,0.79,58.81,116.16,5.81,10.17,-1.01,1.49,0.07,0,0.09,0
Belgium,11,501.3,44990,447.57,40170,-1.1,13,9,0,0,107.23,61.09,85.93,11.13,33.31,20.4,8,57.81,0,0,65.41,82.28,106.13,77.82,92.59,7.36,7.59,94.58,87.24,3.38,5.08,1.37,3.87,0.16,0.1,0.01,0.02
Benin,10,7.5,750,15.8,1570,2.6,6,8,11,8,327.49,271.42,23.65,10.1,12.43,1.96,350,32.36,0.71,1.4,1.86,15.55,29.66,11.55,25.29,0.62,0.8,74.27,85.27,18.79,13.3,-0.29,2.21,0.52,0.95,0.01,0
Bolivia,10,23.3,2220,52.1,4960,3.5,12,15,4,4,220.92,164.26,39.42,11.82,35.51,9.49,190,44.23,3.73,4.25,4.04,46.14,44.67,58.72,36.77,0.79,0.97,127.25,82.33,29.06,47.58,-0.54,1.96,3.96,3.1,0.34,0.45
Bosnia and Herzegovina,4,17.8,4650,36,9380,-0.6,3,9,1,0,132.03,67.95,60.49,0,0,0,8,13.54,3.83,3.66,0,16.6,41.61,40.77,48.16,1.95,1.9,73.24,115.74,28.62,24.9,-0.43,2.07,0,0.18,0.38,0.12
